CASEID;WEIGHT;TM_START;TM_FINISH;DURATION;Q1;Q1_TEXT;Q2;Q3;Q4;Q5;Q6;Q7;Q8_1;Q8_2;Q8_3;Q9_1;Q9_2;Q9_3;Q9_4;Q9_5;Q9_6;Q10_1;Q10_2;Q11_1;Q11_3;Q11_4;Q11_6;Q12_1;Q12_2;Q12_3;Q12_4;Q12_5;Q12_6;Q12_7;Q13_1;Q13_2;Q13_3;Q13_4;Q13_5;Q13_6;Q13_7;Q13_8;Q13_9;Q13_10;Q14_1;Q14_2;Q14_3;Q14_4;Q15_1;Q15_2;Q15_3;Q15_4;Q15_5;Q15_6;Q16;Q17;Q18_1;Q18_2;Q18_3;Q18_4;Q19_1;Q19_2;Q19_3;Q19_4;Q19_5;Q20_1;Q20_2;Q20_3;Q20_4;Q20_5;Q21_1;Q21_2;Q21_3;Q21_4;Q21_5;Q22_1;Q22_2;Q22_3;Q22_4;Q22_5;Q22_6;Q22_7;Q22_8;Q22_9;Q22_10;Q22_11;Q22_12;Q22_13;Q22_14;Q22_15;Q22_16;Q22_17;Q22_18;Q23_1;Q23_2;Q23_3;Q23_4;Q23_5;Q24_1;Q24_2;Q24_3;Q24_4;Q24_5;Q24_6;Q24_7;Q24_8;Q24_9;Q24_10;Q24_11;Q24_12;Q24_13;Q24_15;Q24_16;Q25_1;Q25_2;Q25_3;Q25_4;Q25_5;Q25_6;Q25_7;Q25_8;Q25_9;Q25_10;Q25_11;Q25_12;Q25_13;Q25_14;Q25_15;Q25_16;Q25_17;Q25_18;Q26_1;Q26_2;Q26_3;Q26_4;Q26_5;Q26_6;Q27_1;Q27_2;Q27_3;Q27_4;Q27_5;Q28_1;Q28_2;Q28_4;Q28_5;Q28_6;Q28_8;Q28_9;Q28_10;Q28_11;Q29_1;Q29_2;Q29_3;Q29_4;Q29_5;Q29_6;Q30_1;Q30_2;Q30_3;Q30_4;Q30_5;Q30_6;Q30_7;Q30_8;Q30_9;Q30_10;Q30_11;Q30_12;Q30_13;Q30_14;Q30_15;Q30_16;Q30_17;Q31_1;Q31_2;Q31_3;Q31_4;Q31_5;Q31_6;Q32_1;Q32_2;Q32_3;Q32_4;Q32_5;Q32_6;Q32_7;Q32_8;Q32_9;Q32_10;Q33_1;Q33_2;Q33_3;Q33_4;Q34_1;Q34_2;Q34_3;Q35_1;Q35_2;Q35_3;Q36_1;Q36_2;Q36_3;Q36_4;Q36_5;Q36_6;Q36_7;Q36_8;Q37_1;Q37_2;Q37_3;Q37_4;Q38_1;Q38_2;Q38_3;Q38_4;Q38_5;Q38_6;Q38_7;Q39;Q40_1;Q40_2;Q40_3;Q40_4;PPAGE;PPAGECAT;PPAGECT4;PPEDUC;PPEDUCAT;PPETHM;PPGENDER;PPHHHEAD;PPHHSIZE;PPHOUSE;PPINCIMP;PPMARIT;PPMSACAT;PPREG4;PPREG9;PPRENT;PPSTATEN;PPT01;PPT25;PPT612;PPT1317;PPT18OV;PPWORK;PPNET;I_ATTEND;I_EDUC;I_GENDER;I_MARITAL;I_RACE;I_RELIGION
1255;0,7949;5/11/2016 20:32:02;5/11/2016 20:50:36;18;2;;3;6;2;1;2;2;3;3;2;2;2;2;2;2;2;3;2;6;2;4;2;1;4;4;3;5;4;4;2;3;3;2;3;3;3;3;4;4;3;2;3;2;3;2;2;3;3;2;2;2;3;3;3;3;3;3;3;3;2;3;3;4;3;3;3;3;2;3;3;3;3;2;3;3;2;3;3;2;3;2;1;3;2;3;2;1;1;2;2;2;2;3;2;3;2;3;3;4;3;4;3;4;3;2;1;4;3;3;3;3;3;2;4;3;4;4;3;3;3;3;3;2;2;1;1;2;2;2;3;3;2;4;3;3;2;3;2;2;3;2;3;2;2;3;2;2;3;2;2;2;3;4;1;3;2;3;4;2;4;4;2;2;2;3;4;3;1;2;2;2;2;3;3;3;2;3;3;2;3;2;3;3;3;3;3;2;2;3;5;5;5;5;5;5;2;3;2;3;2;2;3;3;2;2;1;2;3;3;2;3;3;3;3;1;1;1;1;1;57;5;3;12;4;1;2;1;2;1;16;1;1;2;3;1;35;0;0;0;0;2;5;1;4;4;2;1;1;2
1256;0,6667;5/11/2016 20:32:53;5/11/2016 21:12:49;39;3;;2;2;4;4;6;7;2;3;1;1;2;1;2;1;2;4;2;7;1;4;2;1;1;1;1;4;6;4;3;3;3;2;3;3;3;3;3;4;3;2;3;2;1;2;2;2;2;2;2;1;1;4;2;1;2;3;2;3;3;4;2;4;3;3;3;3;2;3;3;3;3;3;3;2;4;4;2;2;3;3;2;2;2;4;4;2;2;3;2;2;3;3;3;3;3;2;4;4;3;2;3;4;2;2;4;4;3;3;4;3;4;2;3;3;4;3;2;4;4;3;4;2;2;2;2;2;2;2;2;3;2;4;3;3;1;2;5;5;5;2;2;5;2;3;3;2;2;2;2;2;2;4;3;4;4;4;4;3;5;4;2;2;2;2;3;3;1;1;2;3;2;3;3;4;3;3;3;4;3;3;3;4;3;4;3;4;3;4;6;4;4;6;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;3;2;3;3;2;;;;;75;7;4;10;3;1;2;1;1;3;7;3;1;1;1;1;11;0;0;0;0;1;5;1;2;3;2;3;1;3
1257;0,7666;5/11/2016 20:36:46;5/11/2016 21:21:25;44;9;Lutheran;4;7;1;1;2;4;4;4;2;2;2;2;2;2;2;2;2;1;1;1;1;3;5;5;2;6;6;2;2;3;3;4;3;3;3;2;1;1;1;2;1;2;1;1;1;1;1;1;2;2;1;1;1;1;2;3;2;3;1;3;2;1;1;1;2;1;2;2;2;2;2;1;4;1;1;4;4;4;4;2;3;3;3;4;4;4;4;1;4;1;1;1;3;2;2;1;2;4;1;1;1;2;1;1;1;4;1;1;1;1;1;1;2;1;1;-1;1;1;1;2;1;1;1;3;1;4;1;3;1;3;1;3;1;4;3;3;4;4;4;4;4;3;5;4;2;3;4;3;4;2;4;4;2;1;3;2;2;2;2;4;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;2;3;4;4;4;4;4;4;4;2;1;1;2;3;1;3;3;2;2;1;1;1;1;2;1;2;1;2;1;1;2;2;2;2;2;2;2;2;1;3;3;3;3;48;4;3;9;2;1;1;1;4;1;11;1;0;2;4;1;43;0;0;0;2;2;1;1;5;2;1;1;1;4
1258;1,2569;5/11/2016 20:37:49;5/11/2016 20:59:04;21;2;;3;6;4;2;2;4;3;3;2;2;2;2;2;3;3;1;3;1;3;3;1;2;6;4;4;1;2;4;4;4;4;4;4;3;4;4;4;4;1;1;2;1;3;3;3;3;3;3;-1;2;3;2;2;3;2;2;2;3;2;4;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;3;-1;4;3;2;2;2;3;2;3;3;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;3;3;3;4;2;3;4;4;3;3;3;3;3;4;2;2;2;2;2;2;3;2;3;1;4;3;3;3;3;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;4;3;4;3;4;3;4;4;4;2;4;4;3;4;4;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;4;4;4;2;2;2;3;3;3;3;3;3;2;3;2;2;1;2;2;2;3;2;2;2;2;1;1;2;2;1;52;4;3;13;4;4;1;1;4;1;17;1;1;1;2;1;22;0;0;0;2;2;1;1;4;4;1;1;4;2
1259;0,3304;5/11/2016 20:43:48;5/11/2016 20:53:02;9;1;;3;5;3;6;4;7;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;2;1;2;2;2;2;2;2;2;2;2;3;3;3;2;2;4;3;3;3;2;2;2;4;2;4;3;2;2;2;4;2;4;4;2;3;2;2;2;3;3;2;3;2;3;3;3;1;1;1;2;2;2;3;3;3;3;2;2;3;3;3;3;2;2;2;2;3;2;2;2;2;3;3;2;2;3;2;2;3;1;1;2;3;3;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;3;3;3;3;3;2;2;3;3;2;2;2;3;3;2;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;3;3;2;3;3;2;3;4;2;2;3;3;3;2;2;2;2;2;2;2;3;3;3;4;2;1;1;1;1;1;1;1;52;4;3;10;3;5;2;0;5;1;13;1;1;2;3;1;35;0;0;1;2;2;1;1;4;3;2;1;5;1
1260;1,5014;5/11/2016 20:46:14;5/11/2016 20:58:30;12;3;;2;3;2;1;4;4;2;2;1;1;2;2;2;1;1;3;3;5;1;4;7;3;3;3;3;3;3;4;2;2;2;2;4;1;3;3;3;4;4;3;2;2;3;3;3;3;3;2;2;2;2;2;3;4;2;3;3;2;3;2;2;4;3;3;3;3;3;3;3;2;2;2;2;2;2;3;4;2;3;3;3;3;3;4;4;3;2;2;2;3;2;3;3;3;2;2;3;4;2;1;3;3;3;3;3;4;3;3;3;3;3;4;4;3;4;3;3;3;3;3;3;3;3;4;2;2;3;2;2;3;2;3;2;3;3;2;3;3;2;2;3;2;3;3;2;3;3;2;3;3;3;4;2;4;4;4;3;1;4;4;2;3;2;1;4;2;1;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;1;1;1;3;3;2;3;3;2;3;2;2;2;2;2;1;1;3;3;3;3;3;1;1;1;1;1;41;3;2;10;3;1;2;0;2;1;13;3;0;4;9;1;92;0;0;0;1;1;6;1;2;3;2;3;1;3
1261;0,7594;5/11/2016 20:46:26;5/11/2016 21:03:48;17;1;;3;7;2;2;4;2;3;3;1;1;1;2;2;1;2;2;1;1;2;2;1;2;2;6;2;6;4;6;3;3;4;3;2;3;3;3;2;3;2;2;3;3;3;2;3;2;2;1;1;1;2;2;1;1;2;3;2;3;2;4;3;4;3;3;3;3;2;2;2;4;3;3;4;4;3;4;4;4;4;3;3;4;4;4;3;4;3;3;2;2;3;3;4;4;4;3;4;1;4;4;2;4;2;4;1;4;4;4;4;4;4;2;2;4;4;2;2;3;3;4;4;1;1;4;3;1;1;2;2;2;1;4;4;3;2;4;5;5;4;5;4;2;5;5;5;2;3;3;2;2;2;4;1;1;1;3;1;1;1;3;1;2;1;2;3;1;1;1;2;2;4;3;4;4;2;3;3;3;3;3;3;3;3;4;2;4;1;3;4;3;3;2;1;2;3;1;3;3;1;1;4;4;2;2;1;1;2;2;3;3;2;2;2;2;;;;;60;5;4;11;3;1;1;1;1;1;12;3;1;3;5;1;57;0;0;0;0;1;1;1;5;3;1;3;1;1
1262;0,721;5/11/2016 20:49:59;5/11/2016 21:12:32;22;1;;3;5;3;1;7;7;3;3;1;1;1;2;2;1;1;5;4;7;7;6;4;3;1;1;1;6;6;6;3;3;2;1;2;3;3;3;4;4;2;3;4;3;3;3;3;2;2;1;2;2;1;4;2;4;2;4;2;2;1;4;4;3;4;4;3;2;2;1;1;4;3;2;4;2;2;4;2;2;2;2;1;1;1;1;1;1;1;1;3;2;1;1;4;4;3;2;4;4;2;4;4;4;2;2;4;4;3;4;4;4;4;3;2;4;4;2;4;4;4;4;4;2;3;4;2;2;2;4;1;4;1;3;2;3;2;3;2;2;2;1;2;1;2;2;1;2;3;3;4;2;2;5;3;1;2;2;1;1;5;3;2;1;2;3;4;2;1;4;2;1;4;4;3;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;2;4;4;1;4;2;2;1;3;1;1;1;2;2;2;2;2;2;2;4;2;2;4;2;2;;;;;55;5;3;10;3;1;1;0;2;1;13;5;1;3;7;1;71;0;0;0;0;2;6;1;4;3;1;5;1;1
1263;0,8575;5/11/2016 20:55:04;5/11/2016 21:21:08;26;3;;1;1;2;1;4;4;3;4;2;2;2;2;2;2;2;2;2;1;2;1;1;5;6;6;4;6;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;2;2;2;2;2;3;2;3;4;2;3;1;4;4;3;3;3;4;3;3;3;4;4;4;4;4;4;4;3;2;2;2;2;2;2;2;4;2;2;2;4;4;2;3;4;1;2;4;4;4;3;4;4;4;4;1;1;4;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;4;4;4;3;2;2;4;2;2;2;3;3;3;3;3;5;5;5;5;5;5;5;5;5;3;3;2;3;3;3;5;3;4;3;5;4;2;2;5;3;4;2;2;5;3;1;1;3;2;3;2;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;4;3;5;4;4;4;2;2;2;2;3;2;2;2;1;2;2;2;2;2;3;3;3;3;3;1;1;1;1;1;28;2;1;10;3;1;2;1;2;1;7;5;1;4;8;2;86;0;0;0;0;2;1;1;1;3;2;5;1;3
1264;0,7326;5/11/2016 21:05:48;5/11/2016 21:31:43;25;1;;3;7;2;1;2;2;3;3;1;1;2;2;2;1;2;4;2;1;3;6;1;1;1;4;2;5;6;6;3;4;4;3;3;3;4;4;4;4;3;2;4;3;4;4;4;4;4;4;2;2;3;4;1;3;2;4;3;2;2;4;4;4;4;4;4;4;2;3;4;4;2;3;3;4;4;4;3;4;4;2;3;3;2;3;3;2;2;1;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;2;2;3;2;1;1;4;2;3;2;4;2;3;4;3;5;5;5;5;4;5;5;5;3;3;3;2;3;2;3;5;3;3;3;2;3;2;4;4;2;4;2;1;4;3;3;3;2;2;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;3;2;2;4;4;4;5;4;4;3;1;3;3;2;2;2;3;2;2;2;2;2;2;3;4;2;2;4;1;1;2;3;1;64;5;4;12;4;1;1;1;2;1;13;1;1;3;5;1;57;0;0;0;0;2;1;1;5;4;1;1;1;1
1265;0,9716;5/11/2016 21:08:55;5/11/2016 21:41:05;32;10;;1;1;4;4;6;4;2;2;1;1;2;1;2;1;1;1;2;1;5;1;1;2;5;4;5;1;1;5;3;3;3;3;4;3;4;4;3;4;3;3;4;3;3;3;2;2;3;2;1;1;2;3;2;3;2;2;2;3;2;3;3;4;4;3;4;4;2;3;4;3;4;4;3;4;3;4;3;3;3;3;2;3;4;4;4;3;3;3;2;2;4;4;4;4;3;4;4;4;3;4;4;4;4;3;4;4;3;3;4;4;4;3;3;3;4;3;3;3;3;4;4;4;4;4;2;3;2;3;2;3;2;3;3;3;2;-1;2;3;3;2;3;3;2;3;3;2;3;2;2;2;2;5;2;5;4;3;4;1;2;5;3;3;1;1;2;1;1;1;3;2;3;3;4;4;3;3;4;4;3;4;4;4;4;4;4;4;3;4;5;6;6;3;5;5;4;3;4;4;4;4;4;4;2;2;1;2;2;2;3;3;3;3;3;1;1;1;1;1;47;4;3;11;3;4;1;1;3;1;11;3;1;4;9;2;93;0;0;1;0;2;7;1;1;3;1;3;4;5
1266;0,8296;5/11/2016 21:24:49;5/11/2016 21:43:17;18;10;;1;8;2;1;4;4;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;3;6;6;6;6;6;6;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;3;3;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;3;3;3;3;4;1;4;4;4;5;5;2;2;5;1;5;5;4;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;5;5;5;4;4;4;4;4;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;4;2;2;4;4;5;5;5;5;5;3;3;3;3;3;3;3;3;2;2;2;2;2;3;2;3;3;3;3;1;1;2;2;1;58;5;3;10;3;2;1;0;2;1;11;1;1;4;9;1;93;0;0;0;0;2;6;0;5;3;1;1;2;5
1267;0,9317;5/11/2016 21:43:32;5/11/2016 21:52:46;9;2;;3;4;2;2;5;5;3;3;1;2;2;2;2;1;2;2;2;2;3;3;1;3;4;4;3;5;4;1;3;4;4;3;3;4;4;4;4;4;3;3;3;3;2;2;3;3;2;1;2;1;2;1;2;1;2;3;3;2;3;2;2;3;3;2;2;3;2;3;3;3;2;1;3;1;3;4;3;2;2;2;3;3;2;4;3;2;1;3;2;2;3;3;4;3;3;2;3;4;3;3;4;3;3;2;4;4;3;2;2;2;2;1;3;2;2;3;3;2;2;4;3;1;1;3;2;2;2;2;3;3;1;3;3;3;3;2;5;5;3;2;3;2;3;2;3;2;3;2;2;2;2;3;2;4;3;3;4;2;2;5;3;3;1;3;3;3;1;1;2;2;2;3;3;3;2;2;3;4;2;3;4;4;3;4;3;4;2;3;6;5;6;6;6;6;3;3;2;4;2;3;2;4;2;1;1;1;2;2;3;2;3;2;3;1;1;3;3;2;47;4;3;12;4;1;2;1;4;1;19;1;1;3;5;1;51;0;0;0;2;2;1;1;3;4;2;1;1;2
1268;0,7653;5/11/2016 21:53:28;5/11/2016 22:11:40;18;2;;3;3;4;1;2;2;2;1;1;1;2;2;2;2;2;3;1;1;6;4;1;1;2;5;1;6;3;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;3;3;3;4;2;3;3;3;3;3;3;3;4;4;2;2;1;1;1;4;3;4;3;2;4;4;4;4;4;2;4;4;4;3;1;4;2;3;2;3;3;3;4;4;3;3;3;4;3;4;3;4;4;2;4;4;4;3;4;4;4;3;3;4;4;4;4;3;3;4;4;1;1;2;3;2;2;2;2;3;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;2;2;2;2;1;3;4;3;5;3;3;3;3;3;3;2;3;3;3;3;3;2;1;2;3;3;2;3;3;4;3;3;3;2;3;4;4;3;3;3;3;2;3;4;3;3;3;2;2;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;3;3;1;3;1;1;2;2;2;54;4;3;12;4;1;1;1;2;1;19;1;1;1;1;1;16;0;0;0;0;2;1;1;2;4;1;1;1;2
1269;0,7055;5/11/2016 21:57:59;5/11/2016 22:13:03;15;2;;2;2;4;1;3;1;2;1;1;1;2;2;2;1;1;3;2;1;7;7;1;3;3;3;3;5;4;2;2;2;2;2;3;2;2;3;3;2;3;1;3;2;4;4;4;4;4;4;2;2;1;2;4;2;2;2;3;1;2;4;4;4;4;3;3;3;4;1;1;4;4;4;3;3;3;4;4;4;4;3;3;4;4;2;2;3;2;1;4;4;1;1;3;1;4;4;4;4;4;4;2;4;3;3;3;4;3;4;4;3;3;4;3;4;4;4;4;4;3;4;4;3;3;3;1;3;1;3;1;3;2;3;3;3;3;3;3;3;3;2;3;2;2;2;3;2;3;4;4;2;2;2;1;1;2;1;1;3;2;1;2;3;1;1;2;2;1;2;3;2;2;3;3;3;2;2;2;1;1;1;3;1;1;1;3;1;1;1;3;3;3;4;2;2;3;3;3;3;2;2;3;1;2;2;2;2;1;1;3;2;2;3;3;1;2;3;1;1;42;3;2;14;4;1;1;1;1;3;11;3;0;1;2;2;23;0;0;0;0;1;1;0;2;4;1;3;1;2
1270;0,8219;5/11/2016 22:13:38;5/11/2016 22:52:36;38;3;;2;2;5;1;4;6;4;4;2;2;2;2;2;2;1;5;1;1;4;4;1;3;2;6;2;6;6;6;4;4;4;2;3;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;2;2;4;4;4;4;3;3;3;3;3;4;3;4;4;4;4;1;2;1;1;4;4;3;4;3;4;4;3;3;3;3;3;3;2;2;2;2;2;3;3;3;3;3;4;4;4;4;4;4;4;1;4;4;3;3;3;4;4;3;4;4;4;3;4;3;4;3;3;4;4;4;4;3;4;4;3;3;3;2;2;3;2;2;2;3;2;3;4;4;4;4;4;5;2;4;1;2;2;2;2;2;2;4;2;4;2;2;1;1;1;4;2;2;1;1;2;1;1;1;2;2;2;2;3;3;4;3;3;3;3;2;3;3;3;3;2;3;2;2;6;5;6;3;3;3;3;3;3;3;3;2;3;3;2;2;2;2;2;2;2;4;4;4;4;2;;;;;66;6;4;9;2;1;2;1;1;3;2;3;0;2;3;2;31;0;0;0;0;1;5;0;2;2;2;3;1;3
1271;1,4898;5/11/2016 22:14:25;5/11/2016 22:45:49;31;3;;2;2;5;1;6;6;2;2;2;1;2;2;2;1;1;4;2;2;2;7;7;5;5;4;3;6;6;3;3;3;3;2;2;3;4;4;4;4;2;2;3;2;1;1;1;1;1;1;2;2;2;4;1;3;2;4;3;3;3;4;3;4;4;3;1;2;1;1;2;4;4;3;3;4;3;4;4;4;4;3;3;3;2;4;4;2;3;3;2;2;4;4;4;3;4;3;4;4;2;3;4;3;1;1;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;3;4;2;2;4;4;4;4;2;4;4;2;4;3;3;3;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;3;3;5;3;3;3;3;3;5;3;3;1;3;5;3;1;3;3;3;3;3;3;4;2;1;-1;4;1;1;4;4;2;1;4;4;1;4;4;5;4;3;3;2;4;4;4;4;4;4;1;4;2;2;1;2;1;1;4;3;4;4;4;1;1;1;1;1;52;4;3;7;1;4;1;1;3;1;17;3;1;3;7;1;74;0;0;0;0;3;6;1;2;1;1;3;4;3
1272;1,1433;5/11/2016 22:17:16;5/14/2016 21:30:39;4273;9;Agnostic;2;1;5;4;6;7;2;3;2;2;2;2;2;2;2;3;5;1;7;1;1;6;6;6;6;6;6;1;3;4;3;3;4;3;4;4;4;4;4;4;4;4;2;2;2;3;1;1;2;2;1;1;1;1;1;3;1;3;1;4;1;4;1;1;1;4;4;1;1;1;4;4;4;4;1;4;1;3;1;1;1;1;1;4;4;1;1;4;1;1;4;4;2;1;3;4;4;3;1;4;4;4;4;4;3;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;2;3;3;2;2;1;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;4;1;4;1;4;4;4;4;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;2;2;2;2;1;1;3;1;1;1;1;1;1;1;1;1;18;1;1;10;3;2;2;0;4;1;13;5;1;4;9;1;93;0;0;0;2;2;1;1;1;3;2;5;2;4
1273;0,5552;5/11/2016 22:19:40;5/11/2016 22:42:53;23;10;;1;2;4;4;4;4;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;6;2;5;4;6;2;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;2;2;4;4;4;3;2;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;2;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;3;3;2;3;3;3;4;4;4;4;3;5;5;5;5;5;5;5;5;5;2;2;2;2;2;2;5;2;5;4;5;4;2;5;5;3;3;1;2;4;4;1;1;2;3;3;3;3;3;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;5;4;3;4;4;4;4;4;4;4;4;2;2;2;2;2;2;3;3;2;3;3;1;1;1;1;1;55;5;3;9;2;1;1;1;1;3;4;1;1;4;8;1;86;0;0;0;0;1;5;1;2;2;1;1;1;5
1274;0,8675;5/11/2016 22:21:01;5/11/2016 22:34:12;13;4;;1;1;4;3;4;5;2;2;2;1;2;2;2;2;2;4;1;1;7;1;1;1;3;2;2;6;6;6;3;4;3;3;4;4;4;4;4;4;3;2;2;2;4;4;4;4;4;4;2;2;4;4;4;4;3;3;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;1;3;3;2;2;4;4;2;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2;3;3;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;5;3;4;2;3;3;3;4;4;1;3;1;3;4;2;1;3;2;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;3;3;2;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;4;1;1;2;1;1;72;6;4;9;2;1;1;1;2;1;19;1;1;1;2;1;21;0;0;0;0;2;5;1;1;2;1;1;1;4
1275;0,7816;5/11/2016 22:26:11;5/11/2016 23:06:37;40;2;;2;2;2;1;3;2;3;3;2;1;2;2;2;3;3;1;2;1;2;1;1;3;6;6;6;6;3;6;4;3;3;3;4;3;3;4;4;4;3;3;4;3;4;4;3;4;4;4;2;2;2;2;2;3;2;4;2;3;4;4;3;4;3;3;4;4;3;4;4;4;4;3;4;3;4;4;3;4;4;3;4;3;3;4;3;3;3;2;-1;2;4;3;4;3;3;3;4;4;4;3;4;4;3;3;3;4;4;4;3;4;4;3;4;4;4;4;4;3;3;4;4;3;3;4;3;-1;2;3;2;4;1;-1;-1;-1;-1;-1;2;2;5;1;5;1;1;1;1;2;2;1;2;2;4;4;3;5;2;2;2;1;2;5;2;3;2;3;4;2;1;1;2;2;3;2;3;3;2;-1;-1;1;1;1;3;2;3;1;4;1;1;1;4;4;3;3;1;3;3;2;3;2;3;3;1;3;2;2;1;2;1;2;3;4;1;2;3;2;;;;;70;6;4;10;3;1;2;1;1;1;8;3;0;2;3;1;34;0;0;0;0;1;1;1;2;3;2;3;1;2
1276;0,7015;5/11/2016 22:27:33;5/11/2016 22:47:20;19;10;;1;3;4;5;4;5;3;2;1;1;2;2;2;1;2;3;3;2;3;3;1;3;4;4;3;6;2;6;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;3;3;3;4;3;2;2;2;3;2;2;1;3;2;2;3;4;3;4;3;3;3;4;3;4;4;4;4;3;3;2;4;4;4;4;4;2;3;2;3;4;4;4;2;2;3;2;2;2;4;4;4;4;4;4;4;3;4;4;4;3;4;4;4;3;4;3;3;3;4;4;4;4;4;3;3;4;4;2;2;2;2;3;3;2;2;4;2;4;4;4;4;4;5;4;4;4;4;4;5;4;4;3;3;2;3;2;2;5;4;4;4;3;4;4;4;4;3;4;3;4;3;3;3;3;3;2;3;2;2;2;4;4;4;4;3;4;4;4;4;4;4;4;3;4;3;2;2;4;1;4;4;3;3;4;4;3;2;2;2;2;1;2;2;2;2;2;3;4;3;1;1;1;2;1;59;5;3;12;4;1;1;1;2;1;19;1;1;2;3;1;31;0;0;0;0;2;1;1;2;4;1;1;1;5
1277;0,7653;5/11/2016 22:40:10;5/11/2016 23:01:27;21;2;;3;4;5;1;2;2;3;3;2;2;2;2;2;2;2;2;2;1;2;2;1;1;3;3;5;5;1;3;4;4;4;3;3;4;4;3;4;4;3;3;3;3;3;2;3;4;2;2;1;1;3;3;3;2;2;3;3;3;2;4;3;4;3;3;3;2;2;2;3;1;1;1;1;1;1;1;2;1;1;2;2;2;2;1;2;2;1;1;4;2;4;4;4;4;3;2;3;4;3;2;3;4;3;2;4;4;3;3;2;1;2;2;2;2;2;2;1;2;2;1;1;1;1;2;1;3;2;3;2;2;1;3;3;3;3;3;5;5;5;5;5;2;5;2;5;3;3;2;4;2;-1;3;3;4;3;4;4;4;4;4;2;3;2;2;4;2;2;3;3;3;3;2;3;3;-1;2;-1;2;2;-1;-1;-1;-1;-1;-1;1;1;3;3;2;2;3;3;2;3;-1;2;3;-1;-1;-1;-1;2;2;1;2;2;2;3;-1;2;-1;-1;1;1;2;2;1;50;4;3;12;4;1;1;1;3;1;15;1;1;1;2;1;22;0;0;1;0;2;1;1;3;4;1;1;1;2
